TYPE,IN FILE,CHANNEL,OFFSET,DURATION,DATE,TIME,HOUR,NDSI,ACI,ADI,AEI
URCHIN_CCA,HydroMoth_0 CCA Grazing Snip Long Updated.wav,0,0,4.997,1970-01-01,0:00:00,0,0.916746,182.542829,2.302585,0
URCHIN_CCA,HydroMoth_0 CCA Grazing Snip Long Updated.wav,0,4.997,4.997,1970-01-01,0:00:05,0,0.908831,170.763047,2.302585,0
URCHIN_CCA,HydroMoth_0 CCA Grazing Snip Long Updated.wav,0,9.995,4.997,1970-01-01,0:00:10,0,0.805711,173.813819,2.302585,0
URCHIN_CCA,HydroMoth_0 CCA Grazing Snip Long Updated.wav,0,14.992,4.997,1970-01-01,0:00:15,0,0.845876,188.491084,2.302585,0
URCHIN_CCA,HydroMoth_0 CCA Grazing Snip Long Updated.wav,0,19.989,4.997,1970-01-01,0:00:20,0,0.849822,174.476821,2.302585,0
URCHIN_CCA,HydroMoth_0 CCA Grazing Snip Long Updated.wav,0,24.987,4.997,1970-01-01,0:00:25,0,0.884132,173.318126,2.302585,0
URCHIN_CCA,HydroMoth_0 CCA Grazing Snip Long Updated.wav,0,29.984,4.997,1970-01-01,0:00:30,0,0.908228,189.203499,2.302585,0
URCHIN_CCA,HydroMoth_0 CCA Grazing Snip Long Updated.wav,0,34.981,4.997,1970-01-01,0:00:35,0,0.910351,208.40728,2.302585,0
URCHIN_CCA,HydroMoth_0 CCA Grazing Snip Long Updated.wav,0,39.979,4.997,1970-01-01,0:00:40,0,0.881173,176.167384,2.302585,0
URCHIN_CCA,HydroMoth_0 CCA Grazing Snip Long Updated.wav,0,44.976,4.997,1970-01-01,0:00:45,0,0.938044,200.921806,2.302585,0
URCHIN_CCA,HydroMoth_0 CCA Grazing Snip Long Updated.wav,0,49.973,4.997,1970-01-01,0:00:50,0,0.922095,201.669204,2.302585,0
URCHIN_CCA,HydroMoth_0 CCA Grazing Snip Long Updated.wav,0,54.971,4.997,1970-01-01,0:00:55,0,0.915426,170.975094,2.302585,0
URCHIN_CCA,HydroMoth_0 CCA Grazing Snip Long Updated.wav,0,59.968,4.997,1970-01-01,0:01:00,0,0.854252,173.794144,2.302585,0
NO URCHIN_CCA,HydroMoth_0_CCA No Urchin Snip Long.wav,0,0,4.997,1970-01-01,0:00:00,0,0.67716,151.894656,2.302585,0
NO URCHIN_CCA,HydroMoth_0_CCA No Urchin Snip Long.wav,0,4.997,4.997,1970-01-01,0:00:05,0,0.683524,153.329957,2.302585,0
NO URCHIN_CCA,HydroMoth_0_CCA No Urchin Snip Long.wav,0,9.995,4.997,1970-01-01,0:00:10,0,0.690842,154.357919,2.302585,0
NO URCHIN_CCA,HydroMoth_0_CCA No Urchin Snip Long.wav,0,14.992,4.997,1970-01-01,0:00:15,0,0.683524,152.721391,2.302585,0
NO URCHIN_CCA,HydroMoth_0_CCA No Urchin Snip Long.wav,0,19.989,4.997,1970-01-01,0:00:20,0,0.686588,152.887124,2.302585,0
NO URCHIN_CCA,HydroMoth_0_CCA No Urchin Snip Long.wav,0,24.987,4.997,1970-01-01,0:00:25,0,0.690477,151.062649,2.302585,0
NO URCHIN_CCA,HydroMoth_0_CCA No Urchin Snip Long.wav,0,29.984,4.997,1970-01-01,0:00:30,0,0.686305,152.602189,2.302585,0
NO URCHIN_CCA,HydroMoth_0_CCA No Urchin Snip Long.wav,0,34.981,4.997,1970-01-01,0:00:35,0,0.706894,154.720478,2.302585,0
NO URCHIN_CCA,HydroMoth_0_CCA No Urchin Snip Long.wav,0,39.979,4.997,1970-01-01,0:00:40,0,0.705246,153.431513,2.302585,0
NO URCHIN_CCA,HydroMoth_0_CCA No Urchin Snip Long.wav,0,44.976,4.997,1970-01-01,0:00:45,0,0.724203,152.489701,2.302585,0
NO URCHIN_CCA,HydroMoth_0_CCA No Urchin Snip Long.wav,0,49.973,4.997,1970-01-01,0:00:50,0,0.660369,152.606638,2.302585,0
NO URCHIN_CCA,HydroMoth_0_CCA No Urchin Snip Long.wav,0,54.971,4.997,1970-01-01,0:00:55,0,0.699501,151.516639,2.302585,0
NO URCHIN_CCA,HydroMoth_0_CCA No Urchin Snip Long.wav,0,59.968,4.997,1970-01-01,0:01:00,0,0.68609,152.378114,2.302585,0