YEAR,MONTH,DAY,TIME,SEASON,SITE,TYPE,OBSERVER,BUDDY,TRANSECT,HEADING OUT,Start Depth [0 meter of transect tape](m):,End Depth [30 meter of transect tape] (m):,SEGMENT OF THE TRANSECT,SUBSTRATE 1,SUBSTRATE 2,SUBSTRATE 3,SUBSTRATE 4,SUBSTRATE 5,RELIEF 1,RELIEF 2,RELIEF 3,RELIEF 4,RELIEF 5,SUPERLAYER 1,SUPERLAYER 2,SUPERLAYER 3,SUPERLAYER 4,SUPERLAYER 5,COVER 1,COVER 2,COVER 3,COVER 4,COVER 5,notes,problems
2025,8,12,16:11,SUMMER,SCARE CROW,MACRO,Caleigh Quist,Haleigh Yang,1,211,7.1,6.2,15-20m,BEDRK,BEDRK,BEDRK,BEDRK,BEDRK,10cm-1m,1m-2m,1m-2m,>2m,1m-2m,AGACLA,NONE,NONE,NONE,NONE,Red algae -Encrusting,Red algae -Encrusting,Red algae -Encrusting,Coralline algae -Crustose,Coralline algae -Crustose,,
2025,8,12,16:11,SUMMER,SCARE CROW,MACRO,Caleigh Quist,Haleigh Yang,1,211,7.1,6.2,20-25m,BEDRK,BEDRK,BEDRK,BEDRK,SAND,0-10cm,10cm-1m,10cm-1m,10cm-1m,1m-2m,AGACLA,NONE,NONE,NONE,NONE,Red algae (leaf-like),Red algae -Encrusting,Red algae -Encrusting,Macrosystis holdfast (dead),Pinto abalone,,
2025,8,12,16:11,SUMMER,SCARE CROW,MACRO,Caleigh Quist,Haleigh Yang,1,211,7.1,6.2,25-30m,BEDRK,BEDRK,BEDRK,BEDRK,BEDRK,1m-2m,1m-2m,1m-2m,>2m,>2m,NONE,NONE,NONE,NONE,NONE,Red algae -Encrusting,Red algae -Encrusting,Red algae -Encrusting,Coralline algae -Crustose,Coralline algae -Crustose,,
2025,8,26,15:26,SUMMER,SCARE CROW,MACRO,Haleigh Yang,Caleigh Quist,2,315,6.4,6.5,0-5m,BEDRK,BEDRK,BEDRK,BEDRK,BEDRK,10cm-1m,10cm-1m,10cm-1m,10cm-1m,10cm-1m,DRIFT,AGAFIB,AGAFIB,AGAFIB,AGAFIB,Shell Debris,Red filamentous turf,Coralline algae -Crustose,Coralline algae -Crustose,encrusting brown,,
2025,8,26,15:26,SUMMER,SCARE CROW,MACRO,Haleigh Yang,Caleigh Quist,2,315,6.4,6.5,05-10m,BEDRK,BEDRK,BEDRK,BEDRK,BEDRK,10cm-1m,10cm-1m,10cm-1m,10cm-1m,10cm-1m,AGAFIB,AGAFIB,HEDONI,NONE,NONE,Bare Rock,Shell Debris,Red algae -Encrusting,Red algae -Encrusting,Sponge,,
2025,8,26,15:26,SUMMER,SCARE CROW,MACRO,Haleigh Yang,Caleigh Quist,2,315,6.4,6.5,10-15m,BEDRK,BEDRK,BEDRK,BEDRK,COB,0-10cm,10cm-1m,10cm-1m,1m-2m,1m-2m,HEDONI,NONE,NONE,NONE,NONE,Shell Debris,Red algae -Encrusting,Coralline algae -Crustose,Coralline algae -Crustose,Coralline algae -Crustose,,
2025,8,26,15:26,SUMMER,SCARE CROW,MACRO,Haleigh Yang,Caleigh Quist,2,315,6.4,6.5,15-20m,BOULD,BOULD,COB,COB,COB,0-10cm,0-10cm,0-10cm,0-10cm,0-10cm,NONE,NONE,HEDONI,NONE,NONE,Bare Rock,Bare Sand,Shell Debris,Shell Debris,Red algae -Encrusting,,
2025,8,26,15:26,SUMMER,SCARE CROW,MACRO,Haleigh Yang,Caleigh Quist,2,315,6.4,6.5,20-25m,BOULD,COB,COB,COB,COB,0-10cm,0-10cm,0-10cm,0-10cm,0-10cm,HEDONI,NONE,NONE,NONE,NONE,Bare Rock,Shell Debris,Shell Debris,Coralline algae -Crustose,Laminariales holdfast (alive),,
2025,8,26,15:26,SUMMER,SCARE CROW,MACRO,Haleigh Yang,Caleigh Quist,2,315,6.4,6.5,25-30m,COB,COB,COB,COB,COB,0-10cm,0-10cm,0-10cm,0-10cm,0-10cm,AGAFIB,HEDONI,HEDONI,NONE,UNKNWN,Shell Debris,Shell Debris,Shell Debris,Shell Debris,Shell Debris,,
2025,8,25,13:15,SUMMER,MAGOONIE,NEREO,Haleigh Yang,Caleigh Quist,1,10,5.3,9.4,0-5m,BEDRK,BEDRK,BEDRK,BEDRK,BEDRK,0-10cm,0-10cm,10cm-1m,10cm-1m,10cm-1m,NONE,NONE,NONE,NONE,NONE,Coralline algae -Crustose,encrusting brown,encrusting brown,encrusting brown,encrusting brown,,
2025,8,25,13:15,SUMMER,MAGOONIE,NEREO,Haleigh Yang,Caleigh Quist,1,10,5.3,9.4,05-10m,BEDRK,COB,COB,COB,COB,0-10cm,0-10cm,0-10cm,10cm-1m,10cm-1m,AGACLA,HEDONI,HEDONI,NONE,NONE,Shell Debris,Shell Debris,Shell Debris,Shell Debris,encrusting brown,,
2025,8,25,13:15,SUMMER,MAGOONIE,NEREO,Haleigh Yang,Caleigh Quist,1,10,5.3,9.4,10-15m,BEDRK,BEDRK,BEDRK,BEDRK,BEDRK,10cm-1m,10cm-1m,10cm-1m,10cm-1m,10cm-1m,AGACLA,HEDONI,NONE,NONE,NONE,Red algae -Encrusting,Red algae -Encrusting,encrusting brown,encrusting brown,encrusting brown,,
2025,8,25,13:15,SUMMER,MAGOONIE,NEREO,Haleigh Yang,Caleigh Quist,1,10,5.3,9.4,15-20m,BEDRK,BEDRK,BEDRK,BEDRK,COB,10cm-1m,10cm-1m,10cm-1m,10cm-1m,1m-2m,HEDONI,NONE,NONE,NONE,NONE,Shell Debris,Coralline algae -Crustose,encrusting brown,encrusting brown,encrusting brown,,
2025,8,25,13:15,SUMMER,MAGOONIE,NEREO,Haleigh Yang,Caleigh Quist,1,10,5.3,9.4,20-25m,BEDRK,BEDRK,COB,COB,COB,0-10cm,0-10cm,10cm-1m,10cm-1m,10cm-1m,NONE,NONE,NONE,NONE,NONE,Shell Debris,Shell Debris,Shell Debris,Coralline algae -Crustose,Coralline algae -Crustose,,
2025,8,25,13:15,SUMMER,MAGOONIE,NEREO,Haleigh Yang,Caleigh Quist,1,10,5.3,9.4,25-30m,BOULD,BOULD,BOULD,COB,COB,0-10cm,0-10cm,0-10cm,0-10cm,10cm-1m,NONE,NONE,NONE,NONE,NONE,Bare Rock,Shell Debris,Shell Debris,Red algae -Encrusting,Red algae -Encrusting,,
2025,8,25,14:40,SUMMER,MAGOONIE,NEREO,Haleigh Yang,Caleigh Quist,2,80,5.1,7,0-5m,BEDRK,BEDRK,BEDRK,BEDRK,COB,0-10cm,10cm-1m,10cm-1m,10cm-1m,10cm-1m,DRIFT,HEDONI,HEDONI,HEDONI,HEDONI,Shell Debris,Coralline algae -Crustose,encrusting brown,encrusting brown,encrusting brown,,
2025,8,25,14:40,SUMMER,MAGOONIE,NEREO,Haleigh Yang,Caleigh Quist,2,80,5.1,7,05-10m,BEDRK,BEDRK,BEDRK,BEDRK,COB,10cm-1m,10cm-1m,10cm-1m,10cm-1m,10cm-1m,HEDONI,NONE,NONE,NONE,NONE,Shell Debris,encrusting brown,encrusting brown,encrusting brown,encrusting brown,,
2025,8,25,14:40,SUMMER,MAGOONIE,NEREO,Haleigh Yang,Caleigh Quist,2,80,5.1,7,10-15m,BEDRK,COB,COB,COB,COB,0-10cm,0-10cm,0-10cm,0-10cm,10cm-1m,HEDONI,NONE,NONE,NONE,NONE,Shell Debris,Shell Debris,Shell Debris,Shell Debris,encrusting brown,,
2025,8,25,14:40,SUMMER,MAGOONIE,NEREO,Haleigh Yang,Caleigh Quist,2,80,5.1,7,15-20m,BEDRK,BEDRK,BEDRK,BEDRK,BEDRK,10cm-1m,1m-2m,1m-2m,1m-2m,1m-2m,HEDONI,HEDONI,HEDONI,HEDONI,NONE,Red algae -Encrusting,Red algae -Encrusting,Coralline algae -Crustose,Coralline algae -Crustose,Coralline algae -Crustose,,
2025,8,25,14:40,SUMMER,MAGOONIE,NEREO,Haleigh Yang,Caleigh Quist,2,80,5.1,7,20-25m,BEDRK,BEDRK,BEDRK,BEDRK,BEDRK,10cm-1m,10cm-1m,1m-2m,1m-2m,10cm-1m,HEDONI,HEDONI,NONE,NONE,NONE,Red algae -Encrusting,Red algae -Encrusting,Coralline algae -Crustose,encrusting brown,encrusting brown,,
2025,8,25,14:40,SUMMER,MAGOONIE,NEREO,Haleigh Yang,Caleigh Quist,2,80,5.1,7,25-30m,BEDRK,COB,COB,COB,COB,0-10cm,0-10cm,10cm-1m,10cm-1m,1m-2m,HEDONI,NONE,NONE,NONE,NONE,Shell Debris,Shell Debris,Shell Debris,Shell Debris,encrusting brown,,
2025,8,21,11:30,SUMMER,FUCUS GARDEN,NEREO,Caleigh Quist,Haleigh Yang,1,185,6.4,8.5,0-5m,BEDRK,BEDRK,BEDRK,BOULD,COB,1m-2m,1m-2m,1m-2m,>2m,>2m,HEDONI,NONE,NONE,NONE,NONE,Shell Debris,Red algae (leaf-like),Red algae -Encrusting,Red algae -Encrusting,Coralline algae -Crustose,,
2025,8,21,11:30,SUMMER,FUCUS GARDEN,NEREO,Caleigh Quist,Haleigh Yang,1,185,6.4,8.5,05-10m,BEDRK,BEDRK,BEDRK,BOULD,COB,10cm-1m,10cm-1m,10cm-1m,1m-2m,1m-2m,AGACLA,HEDONI,NONE,NONE,NONE,Sediment/Mud,Red algae (leaf-like),Red algae (leaf-like),Coralline algae -Crustose,Coralline algae -Crustose,,
2025,8,21,11:30,SUMMER,FUCUS GARDEN,NEREO,Caleigh Quist,Haleigh Yang,1,185,6.4,8.5,10-15m,BEDRK,BOULD,COB,COB,COB,0-10cm,0-10cm,10cm-1m,10cm-1m,10cm-1m,AGACLA,HEDONI,NONE,NONE,NONE,Shell Debris,Shell Debris,Shell Debris,Red algae -Encrusting,Coralline algae -Crustose,,
2025,8,21,11:30,SUMMER,FUCUS GARDEN,NEREO,Caleigh Quist,Haleigh Yang,1,185,6.4,8.5,15-20m,BEDRK,BEDRK,BEDRK,BEDRK,BEDRK,1m-2m,1m-2m,>2m,>2m,>2m,HEDONI,NONE,NONE,NONE,NONE,Red algae (leaf-like),Red algae (lacy branching),Red algae -Encrusting,Red algae -Encrusting,Coralline algae -Crustose,,
2025,8,21,11:30,SUMMER,FUCUS GARDEN,NEREO,Caleigh Quist,Haleigh Yang,1,185,6.4,8.5,20-25m,BEDRK,BEDRK,BEDRK,BEDRK,SAND,1m-2m,1m-2m,>2m,>2m,>2m,HEDONI,NONE,NONE,NONE,NONE,Shell Debris,Red algae (leaf-like),Red algae -Encrusting,Coralline algae -Crustose,encrusting brown,,
2025,8,21,11:30,SUMMER,FUCUS GARDEN,NEREO,Caleigh Quist,Haleigh Yang,1,185,6.4,8.5,25-30m,BEDRK,BEDRK,BOULD,SAND,SAND,10cm-1m,>2m,>2m,>2m,>2m,NONE,NONE,NONE,NONE,NONE,Shell Debris,Shell Debris,Red algae -Encrusting,Nereocystis holdfast (alive),Nereocystis holdfast (alive),,
2025,8,25,10:30,SUMMER,FUCUS GARDEN,NEREO,Haleigh Yang,Caleigh Quist,2,0,4.4,3.8,0-5m,BEDRK,BOULD,BOULD,COB,COB,10cm-1m,10cm-1m,10cm-1m,10cm-1m,10cm-1m,NONE,NONE,NONE,NONE,NONE,Shell Debris,Shell Debris,Red algae (lacy branching),Red algae -Encrusting,Coralline algae -Crustose,,
2025,8,25,10:30,SUMMER,FUCUS GARDEN,NEREO,Haleigh Yang,Caleigh Quist,2,0,4.4,3.8,05-10m,BEDRK,BEDRK,BOULD,BOULD,COB,10cm-1m,10cm-1m,10cm-1m,10cm-1m,10cm-1m,NONE,NONE,NONE,NONE,NONE,Shell Debris,Red algae -Encrusting,Coralline algae -Crustose,Coralline algae -Crustose,encrusting brown,,
2025,8,25,10:30,SUMMER,FUCUS GARDEN,NEREO,Haleigh Yang,Caleigh Quist,2,0,4.4,3.8,10-15m,BEDRK,BEDRK,COB,COB,COB,10cm-1m,10cm-1m,10cm-1m,1m-2m,1m-2m,NONE,NONE,NONE,NONE,NONE,Bare Rock,Shell Debris,Shell Debris,encrusting brown,"Tunicate -Colonial,compund,social",,
2025,8,25,10:30,SUMMER,FUCUS GARDEN,NEREO,Haleigh Yang,Caleigh Quist,2,0,4.4,3.8,15-20m,BOULD,BOULD,COB,COB,COB,0-10cm,0-10cm,10cm-1m,10cm-1m,10cm-1m,NONE,NONE,NONE,NONE,NONE,Bare Rock,Shell Debris,Shell Debris,Shell Debris,encrusting brown,,
2025,8,25,10:30,SUMMER,FUCUS GARDEN,NEREO,Haleigh Yang,Caleigh Quist,2,0,4.4,3.8,20-25m,,,,,,,,,,,,,,,,,,,,,Did not survey 20-30m,
2025,8,25,10:30,SUMMER,FUCUS GARDEN,NEREO,Haleigh Yang,Caleigh Quist,2,0,4.4,3.8,25-30m,,,,,,,,,,,,,,,,,,,,,Did not survey 20-30m,
2025,8,11,11:53,SUMMER,SAMSING FOREST,MACRO,Caleigh Quist,Amina Shenasa,1,140,18,21,0-5m,BOULD,BOULD,COB,SAND,SAND,0-10cm,0-10cm,0-10cm,0-10cm,10cm-1m,DRIFT,MACRO,NONE,NONE,NONE,Shell Debris,Coralline algae -Crustose,articulated coralline,Shell Debris,Shell Debris,,
2025,8,11,11:53,SUMMER,SAMSING FOREST,MACRO,Caleigh Quist,Amina Shenasa,1,140,18,21,05-10m,COB,COB,COB,COB,SAND,0-10cm,0-10cm,10cm-1m,10cm-1m,10cm-1m,HEDONI,NONE,NONE,NONE,NONE,Bare Rock,Bare Rock,Shell Debris,Shell Debris,Red algae -Encrusting,,
2025,8,11,11:53,SUMMER,SAMSING FOREST,MACRO,Caleigh Quist,Amina Shenasa,1,140,18,21,10-15m,COB,SAND,SAND,SAND,SAND,10cm-1m,10cm-1m,10cm-1m,10cm-1m,10cm-1m,NONE,NONE,NONE,NONE,NONE,Shell Debris,Shell Debris,Shell Debris,Red algae -Encrusting,articulated coralline,,
2025,8,11,11:53,SUMMER,SAMSING FOREST,MACRO,Caleigh Quist,Amina Shenasa,1,140,18,21,15-20m,COB,COB,COB,SAND,SAND,10cm-1m,10cm-1m,10cm-1m,10cm-1m,10cm-1m,NONE,NONE,NONE,NONE,NONE,Shell Debris,Red algae -Encrusting,Red algae -Encrusting,Coralline algae -Crustose,articulated coralline,,
2025,8,11,11:53,SUMMER,SAMSING FOREST,MACRO,Caleigh Quist,Amina Shenasa,1,140,18,21,20-25m,BOULD,COB,COB,COB,COB,10cm-1m,10cm-1m,10cm-1m,10cm-1m,10cm-1m,NONE,NONE,NONE,NONE,NONE,Bare Rock,Shell Debris,Shell Debris,Shell Debris,articulated coralline,,
2025,8,11,11:53,SUMMER,SAMSING FOREST,MACRO,Caleigh Quist,Amina Shenasa,1,140,18,21,25-30m,BOULD,BOULD,BOULD,BOULD,SAND,10cm-1m,10cm-1m,10cm-1m,10cm-1m,10cm-1m,AGACLA,NONE,NONE,NONE,NONE,Shell Debris,articulated coralline,articulated coralline,articulated coralline,encrusting brown,,
2025,8,11,13:32,SUMMER,SAMSING FOREST,MACRO,Caleigh Quist,Amina Shenasa,1,240,16,20,0-5m,BOULD,COB,COB,COB,SAND,0-10cm,0-10cm,0-10cm,0-10cm,10cm-1m,DRIFT,MACRO,NONE,NONE,NONE,Bare Sand,Coralline algae -Crustose,Coralline algae -Crustose,articulated coralline,articulated coralline,,
2025,8,11,13:32,SUMMER,SAMSING FOREST,MACRO,Caleigh Quist,Amina Shenasa,1,240,16,20,05-10m,COB,COB,COB,COB,SAND,0-10cm,0-10cm,10cm-1m,10cm-1m,10cm-1m,HEDONI,NONE,NONE,NONE,NONE,Bare Rock,Bare Rock,Shell Debris,Shell Debris,Red algae -Encrusting,,
2025,8,11,13:32,SUMMER,SAMSING FOREST,MACRO,Caleigh Quist,Amina Shenasa,1,240,16,20,10-15m,COB,SAND,SAND,SAND,SAND,10cm-1m,10cm-1m,10cm-1m,10cm-1m,10cm-1m,NONE,NONE,NONE,NONE,NONE,Shell Debris,Shell Debris,Shell Debris,Red algae -Encrusting,articulated coralline,,
2025,8,11,13:32,SUMMER,SAMSING FOREST,MACRO,Caleigh Quist,Amina Shenasa,1,240,16,20,15-20m,COB,COB,COB,SAND,SAND,10cm-1m,10cm-1m,10cm-1m,10cm-1m,10cm-1m,NONE,NONE,NONE,NONE,NONE,Bare Rock,Shell Debris,Red algae -Encrusting,Red algae -Encrusting,articulated coralline,,
2025,8,11,13:32,SUMMER,SAMSING FOREST,MACRO,Caleigh Quist,Amina Shenasa,1,240,16,20,20-25m,BOULD,COB,COB,COB,COB,10cm-1m,10cm-1m,10cm-1m,10cm-1m,10cm-1m,NONE,NONE,NONE,NONE,NONE,Bare Rock,Shell Debris,Shell Debris,Shell Debris,articulated coralline,,
2025,8,11,13:32,SUMMER,SAMSING FOREST,MACRO,Caleigh Quist,Amina Shenasa,1,240,16,20,25-30m,BOULD,BOULD,BOULD,COB,SAND,10cm-1m,10cm-1m,10cm-1m,10cm-1m,10cm-1m,NONE,NONE,NONE,NONE,NONE,Bare Rock,Shell Debris,Red algae -Encrusting,Red algae -Encrusting,Red algae -Encrusting,,